name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28812,12907,28812,21,2019-07-13 19:52:56+00:00,2026-08-18 19:15:26+00:00,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27954,3533,27954,76,2023-09-06 19:31:06+00:00,2026-08-18 19:49:34+00:00,Other
shap,shap,Jupyter Notebook,25693,3740,25693,1010,2016-11-22 19:17:08+00:00,2026-08-18 19:42:32+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24765,4192,24765,30,2018-11-01 04:34:19+00:00,2026-08-18 13:42:13+00:00,MIT License
Paddle,PaddlePaddle,C++,24057,6015,24057,1513,2016-08-15 06:59:08+00:00,2026-08-18 19:37:16+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23717,3141,23717,54,2020-11-29 19:41:36+00:00,2026-08-18 16:17:10+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22329,4767,22329,18,2016-07-16 10:17:03+00:00,2026-08-18 17:33:26+00:00,GNU General Public License v3.0
onnx,onnx,Python,21326,4002,21326,291,2017-09-07 04:53:45+00:00,2026-08-18 15:13:25+00:00,Apache License 2.0
rasa,RasaHQ,Python,21295,4919,21295,153,2016-10-14 12:27:49+00:00,2026-08-18 14:58:51+00:00,Apache License 2.0
video2x,k4yt3x,C++,20965,1817,20965,130,2018-02-24 16:34:41+00:00,2026-08-18 19:56:17+00:00,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20852,2590,20852,31,2018-08-15 14:28:41+00:00,2026-08-18 20:30:44+00:00,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20504,5526,20504,6,2018-05-09 12:33:08+00:00,2026-08-18 19:48:12+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20126,4248,20126,20,2018-08-04 23:01:00+00:00,2026-08-18 12:21:08+00:00,MIT License
ml-agents,Unity-Technologies,C#,19631,4482,19631,20,2017-09-08 21:09:04+00:00,2026-08-18 20:19:12+00:00,Other
LightGBM,lightgbm-org,C++,18696,4053,18696,511,2016-08-05 05:45:50+00:00,2026-08-18 15:30:13+00:00,MIT License
ml-engineering,stas00,Python,18654,1201,18654,3,2020-09-02 19:23:01+00:00,2026-08-18 21:01:09+00:00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18108,3969,18108,47,2015-09-12 14:51:38+00:00,2026-08-18 01:43:01+00:00,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17794,4629,17794,36,2019-07-05 12:49:53+00:00,2026-08-18 08:26:27+00:00,Unknown
brpc,apache,C++,17585,4131,17585,463,2017-09-04 09:28:47+00:00,2026-08-18 15:44:59+00:00,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17361,2120,17361,21,2021-06-25 09:39:16+00:00,2026-08-18 13:36:50+00:00,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16334,3744,16334,47,2019-04-06 22:29:49+00:00,2026-08-18 13:04:35+00:00,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16261,1181,16261,276,2023-02-13 13:51:45+00:00,2026-08-18 12:59:51+00:00,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15884,2842,15884,197,2017-12-08 10:52:21+00:00,2026-08-18 19:07:03+00:00,Unknown
kubeflow,kubeflow,Unknown,15821,2689,15821,0,2017-11-30 18:44:19+00:00,2026-08-18 14:59:49+00:00,Apache License 2.0
cheatsheets-ai,kailashahirwar,Unknown,15428,3372,15428,12,2017-05-24 12:06:56+00:00,2026-08-17 06:34:34+00:00,MIT License
ggml,ggml-org,C++,15193,1782,15193,347,2022-09-18 17:07:19+00:00,2026-08-18 15:39:44+00:00,MIT License
Qix,ty4z2008,Unknown,15185,4575,15185,0,2014-04-20 11:03:15+00:00,2026-08-18 18:46:03+00:00,Other
imgaug,aleju,Python,14739,2450,14739,311,2015-07-10 20:31:33+00:00,2026-08-14 13:12:26+00:00,MIT License
bullet3,bulletphysics,C++,14680,3088,14680,423,2011-04-12 18:45:08+00:00,2026-08-18 10:44:41+00:00,Other
ChatterBot,gunthercox,Python,14510,4419,14510,72,2014-09-28 14:49:00+00:00,2026-08-18 02:56:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
dlib,davisking,C++,14432,3442,14432,38,2014-01-29 00:45:33+00:00,2026-08-18 08:10:22+00:00,Boost Software License 1.0
nni,microsoft,Python,14363,1852,14363,415,2018-06-01 05:51:44+00:00,2026-08-16 01:22:07+00:00,MIT License
mit-deep-learning-book-pdf,janishar,Java,14197,2909,14197,12,2017-04-07 10:46:50+00:00,2026-08-17 21:41:02+00:00,Unknown
ivy,unifyai,Python,14170,5465,14170,985,2021-01-19 08:37:25+00:00,2026-08-18 02:31:48+00:00,Other
handson-ml3,ageron,Jupyter Notebook,13949,5249,13949,107,2022-02-19 09:43:22+00:00,2026-08-18 19:55:11+00:00,Apache License 2.0
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13939,3093,13939,3,2020-04-17 04:29:23+00:00,2026-08-18 19:33:43+00:00,Unknown
tvm,apache,Python,13669,3958,13669,242,2016-10-12 22:20:28+00:00,2026-08-18 16:34:32+00:00,Apache License 2.0
Ai-Learn,tangyudi,Unknown,13266,2675,13266,20,2020-01-28 01:55:06+00:00,2026-08-18 16:44:56+00:00,Unknown
deep-learning-drizzle,kmario23,HTML,12932,2987,12932,5,2018-11-26 01:17:36+00:00,2026-08-18 17:43:04+00:00,Unknown
machine-learning-interview,khangich,Unknown,12783,2044,12783,9,2020-08-11 06:26:32+00:00,2026-08-18 12:36:45+00:00,Unknown
python-machine-learning-book,rasbt,Jupyter Notebook,12641,4373,12641,13,2015-08-07 20:39:29+00:00,2026-08-17 16:24:50+00:00,MIT License
predictionio,apache,Scala,12518,1898,12518,80,2013-01-25 19:42:32+00:00,2026-08-17 15:39:17+00:00,Apache License 2.0
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License"
cleanlab,cleanlab,Python,11628,915,11628,119,2018-05-11 01:55:21+00:00,2026-08-18 02:46:00+00:00,Apache License 2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11392,1866,11392,0,2015-02-22 23:48:16+00:00,2026-08-17 19:11:54+00:00,Creative Commons Attribution 4.0 International
MLAlgorithms,rushter,Python,11166,1768,11166,10,2016-10-05 06:46:45+00:00,2026-08-18 01:12:30+00:00,MIT License
turicreate,apple,C++,11160,1118,11160,522,2017-12-01 00:42:04+00:00,2026-08-18 01:19:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,aws,Jupyter Notebook,10977,6960,10977,849,2017-10-23 05:55:22+00:00,2026-08-18 08:57:11+00:00,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10944,1679,10944,7,2024-05-18 15:42:58+00:00,2026-08-18 20:50:49+00:00,Unknown
dolly,databrickslabs,Python,10805,1140,10805,5,2023-03-24 16:15:53+00:00,2026-08-16 09:28:29+00:00,Apache License 2.0
doccano,doccano,Python,10744,1823,10744,395,2018-05-09 06:10:05+00:00,2026-08-18 15:08:08+00:00,MIT License
mlcourse.ai,Yorko,Python,10687,5699,10687,3,2017-02-27 08:32:20+00:00,2026-08-18 19:44:06+00:00,Other
machine-learning-systems-design,chiphuyen,HTML,10530,1631,10530,11,2019-11-24 23:16:28+00:00,2026-08-18 20:39:58+00:00,Unknown
Machine-Learning,Jack-Cherish,Python,10370,5065,10370,7,2017-03-25 07:32:37+00:00,2026-08-18 03:26:09+00:00,Unknown
machine-learning-notes,roboticcam,Jupyter Notebook,10331,1824,10331,28,2018-02-15 15:42:33+00:00,2026-08-18 09:50:27+00:00,Unknown
3D-Machine-Learning,timzhang642,Unknown,10193,1797,10193,21,2017-08-12 15:20:54+00:00,2026-08-18 08:44:49+00:00,Unknown
tpot,EpistasisLab,Jupyter Notebook,10051,1563,10051,312,2015-11-03 21:08:40+00:00,2026-08-18 06:34:07+00:00,GNU Lesser General Public License v3.0
sktime,sktime,Python,9943,2297,9943,2406,2018-11-06 15:08:24+00:00,2026-08-18 19:48:52+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9484,3048,9484,47,2017-12-18 10:49:59+00:00,2026-08-18 09:58:10+00:00,Apache License 2.0
cog,replicate,Go,9459,694,9459,68,2021-02-26 23:43:09+00:00,2026-08-18 15:04:13+00:00,Apache License 2.0
golearn,sjwhitworth,Go,9438,1165,9438,89,2013-12-26 13:06:14+00:00,2026-08-17 03:32:58+00:00,MIT License
machinelearning,dotnet,C#,9347,1950,9347,1008,2018-05-03 16:20:42+00:00,2026-08-16 18:53:12+00:00,MIT License
AIMLInterviews,alirezadir,Jupyter Notebook,9335,1639,9335,11,2021-01-31 03:52:09+00:00,2026-08-18 20:36:20+00:00,MIT License
awesome-ml-for-cybersecurity,jivoi,Unknown,9294,1940,9294,33,2016-12-20 12:46:36+00:00,2026-08-18 21:02:22+00:00,Other
awesome-project-ideas,NirantK,Unknown,9267,1291,9267,7,2017-08-19 09:37:58+00:00,2026-08-18 12:28:20+00:00,MIT License
catboost,catboost,C++,9069,1317,9069,709,2017-07-18 05:29:04+00:00,2026-08-18 11:58:42+00:00,Apache License 2.0
machine_learning_examples,lazyprogrammer,Python,8911,6404,8911,33,2014-07-31 23:40:45+00:00,2026-08-18 09:26:41+00:00,Unknown
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8895,1294,8895,14,2017-11-09 01:21:40+00:00,2026-08-17 07:06:53+00:00,Apache License 2.0
pattern,clips,Python,8860,1558,8860,179,2011-05-03 15:29:01+00:00,2026-08-18 06:33:05+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,firmai,Python,8749,1409,8749,15,2019-03-21 21:00:35+00:00,2026-08-18 12:07:55+00:00,Unknown
machinelearning,ljpzzz,Jupyter Notebook,8706,3687,8706,17,2016-05-12 07:06:34+00:00,2026-08-17 09:47:16+00:00,MIT License
vowpal_wabbit,VowpalWabbit,C++,8705,1925,8705,1,2009-07-31 19:36:58+00:00,2026-08-18 14:00:37+00:00,Other
MachineLearning_Python,lawlite19,Python,8580,2515,8580,10,2016-10-17 15:44:59+00:00,2026-08-18 06:33:54+00:00,MIT License
Machine-Learning-Collection,aladdinpersson,Python,8485,2786,8485,118,2020-03-26 07:02:40+00:00,2026-08-17 01:02:10+00:00,MIT License
approachingalmost,abhishekkrthakur,Unknown,8372,1122,8372,54,2020-07-04 07:13:20+00:00,2026-08-18 03:42:18+00:00,Unknown
introduction_to_ml_with_python,amueller,Jupyter Notebook,8147,4671,8147,28,2016-05-29 18:29:47+00:00,2026-08-17 19:23:01+00:00,Unknown
auto-sklearn,automl,Python,8126,1324,8126,207,2015-07-02 15:38:10+00:00,2026-08-17 01:46:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,soulmachine,TeX,8043,1332,8043,11,2013-05-09 07:43:59+00:00,2026-08-17 01:43:29+00:00,Unknown
cortex,cortexlabs,Go,8010,593,8010,131,2019-01-24 04:43:14+00:00,2026-08-14 06:57:58+00:00,Apache License 2.0
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,MIT License
machine-learning-yearning-cn,deeplearning-ai,CSS,7844,1501,7844,4,2018-06-19 19:26:39+00:00,2026-08-18 08:45:23+00:00,Other
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7782,3726,7782,26,2022-06-16 15:31:02+00:00,2026-08-18 18:15:41+00:00,MIT License
Machine-learning-learning-notes,Vay-keen,Unknown,7762,1878,7762,28,2018-03-24 06:48:10+00:00,2026-08-18 07:36:00+00:00,Unknown
awesome-youtubers,JoseDeFreitas,Markdown,7694,493,7694,2,2020-08-25 14:18:15+00:00,2026-08-18 16:13:50+00:00,Creative Commons Zero v1.0 Universal
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7606,2310,7606,19,2018-03-02 10:59:53+00:00,2026-08-18 19:44:22+00:00,Unknown
h2o-3,h2oai,Jupyter Notebook,7493,2026,7493,2880,2014-03-03 16:08:07+00:00,2026-08-18 07:09:24+00:00,Apache License 2.0
industry-machine-learning,firmai,Jupyter Notebook,7485,1249,7485,3,2019-05-03 05:08:15+00:00,2026-08-17 08:53:36+00:00,Unknown
